longitude, latitude, magnitude, depth,
172.342,-43.62397,3.184,5,
172.41013,-43.62014,3.9,9.33,
172.04649,-43.61341,3.736,5,
172.38425,-43.60336,2.882,5,
171.9787,-43.54765,4.8,9.8039,
171.95403,-43.5653,4.364,5,
172.38029,-43.6109,3.105,5,
172.4016,-43.65396,3.037,5,
172.37891,-43.63746,3.142,5,
172.27705,-43.60916,3.458,5,
171.96758,-43.56323,3.648,5,
172.40302,-43.5382,4.035,5,
172.15689,-43.46883,2.874,5,
172.24355,-43.59707,2.655,5,
172.2821,-43.55174,2.691,5,
171.97394,-43.55993,3.129,5,
172.35181,-43.60376,3.711,13.1395,
172.37813,-43.63754,2.896,5,
172.31461,-43.54537,2.805,5,
172.40712,-43.58068,2.92,5,
172.20827,-43.61098,2.973,5,
172.14015,-43.4794,2.558,5,
171.84827,-43.58543,2.768,5,
172.40469,-43.64397,2.688,5,
172.32283,-43.54272,3.046,5,
172.26033,-43.58622,3.905,5,
172.13727,-43.61216,3.569,5,
172.22578,-43.52676,2.633,5,
172.4715,-43.63068,3.02,5,
172.20201,-43.57437,2.53,5,
172.30643,-43.60524,2.791,5,
172.29355,-43.60836,3.154,5,
172.21169,-43.54198,2.694,5,
172.2596,-43.6234,2.978,5,
172.39426,-43.62265,2.668,5,
172.28328,-43.62034,3.585,8.1018,
172.2746,-43.57844,2.806,5,
172.41232,-43.56508,2.87,5,
172.04422,-43.60038,2.633,5,
172.1804,-43.50831,3.448,5,
172.37415,-43.61951,2.832,5,
172.20309,-43.61381,3.36,5,
172.00414,-43.5691,2.628,5,
172.25591,-43.62244,3.469,17.3203,
172.41788,-43.61637,3.006,5,
