publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,distance
3752130,earthquake,2010-09-03T17:21:48.896Z,2013-07-16T14:52:00.000Z,172.09161,-43.61933,4.18,11.0415,ML,,GROPE,reviewed,,nz1dr,11,5,3,0.128,328,0.21027,0.108,11.93771035
3752140,earthquake,2010-09-03T17:22:18.946Z,2013-07-16T14:52:00.000Z,172.35083,-43.58913,3.412,12,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,5,0.198,144,0.16672,0.107,16.26163275
3753011,earthquake,2010-09-03T17:22:40.719Z,2013-07-16T14:52:00.000Z,171.86795,-43.55365,4.575,12,ML,operator assigned,GROPE,reviewed,,nz1dr,23,14,56,0.181,89,0.35356,0.295,24.35707178
3753019,earthquake,2010-09-03T17:23:52.273Z,2013-07-16T14:52:00.000Z,172.15027,-43.46167,4.113,6.8935,ML,,GROPE,reviewed,,nz1dr,21,12,8,0.046,106,0.27068,0.225,7.436708353
3753038,earthquake,2010-09-03T17:24:05.756Z,2013-07-16T14:52:00.000Z,172.26309,-43.63627,4.255,11.4933,ML,,GROPE,reviewed,,nz1dr,26,14,10,0.058,131,0.2465,0.219,14.33640385
3753083,earthquake,2010-09-03T17:24:25.085Z,2013-07-16T14:52:00.000Z,171.87665,-43.54924,4.266,5,ML,operator assigned,GROPE,reviewed,,nz1dr,16,9,13,0.061,235,0.3147,0.239,23.60622794
3753095,earthquake,2010-09-03T17:24:53.127Z,2013-07-16T14:52:00.000Z,172.42139,-43.6554,3.942,6.2076,ML,,GROPE,reviewed,,nz1dr,15,8,8,0.11,212,0.14448,0.323,24.88980657
3753117,earthquake,2010-09-03T17:25:02.168Z,2013-07-16T14:52:00.000Z,172.41945,-43.64859,3.596,5,ML,operator assigned,GROPE,reviewed,,nz1dr,15,8,5,0.104,210,0.15196,0.23,24.33511743
3753136,earthquake,2010-09-03T17:25:57.419Z,2013-07-16T14:52:00.000Z,172.3445,-43.58962,3.282,5,ML,operator assigned,GROPE,reviewed,,nz1dr,13,8,3,0.133,127,0.27284,0.312,15.824573
3753125,earthquake,2010-09-03T17:26:04.727Z,2013-07-16T14:52:00.000Z,172.09457,-43.59563,4.692,7.8645,ML,,GROPE,reviewed,,nz1dr,45,27,65,0.009,66,0.32025,0.295,9.626101841
3753542,earthquake,2010-09-03T17:27:12.852Z,2013-07-16T14:52:00.000Z,172.33667,-43.57727,3.971,14.0326,ML,,GROPE,reviewed,,nz1dr,18,10,14,0.168,112,0.31212,0.182,14.68865568
3753650,earthquake,2010-09-03T17:28:08.145Z,2013-07-16T14:52:00.000Z,172.03815,-43.58954,4.118,8.852,ML,,GROPE,reviewed,,nz1dr,21,10,4,0.075,205,0.24381,0.205,12.54037548
3753602,earthquake,2010-09-03T17:28:16.175Z,2013-07-16T14:52:00.000Z,172.04362,-43.58209,4.441,12.7174,ML,,GROPE,reviewed,,nz1dr,29,14,44,0.033,198,0.38011,0.263,11.72475406
3753669,earthquake,2010-09-03T17:29:43.731Z,2013-07-16T14:52:00.000Z,171.93301,-43.50891,3.986,11.3858,ML,,GROPE,reviewed,,nz1dr,11,6,12,0.134,141,0.45611,0.304,19.05344993
3753695,earthquake,2010-09-03T17:31:00.032Z,2013-07-16T14:52:00.000Z,172.42651,-43.61386,4.408,8.4279,ML,,GROPE,reviewed,,nz1dr,31,20,34,0.032,93,0.25536,0.351,22.9469703
3753682,earthquake,2010-09-03T17:31:21.849Z,2013-07-16T14:52:00.000Z,171.981,-43.52064,4.397,10.0522,ML,,GROPE,reviewed,,nz1dr,18,10,44,0.093,142,0.33877,0.259,15.09044223
3754136,earthquake,2010-09-03T17:33:00.820Z,2013-07-16T14:52:00.000Z,172.09627,-43.58116,3.702,6.6108,ML,,GROPE,reviewed,,nz1dr,18,9,19,0.009,107,0.19936,0.382,8.319338405
3754150,earthquake,2010-09-03T17:34:15.263Z,2013-07-16T14:52:00.000Z,172.30588,-43.57518,3.814,9.9105,ML,,GROPE,reviewed,,nz1dr,18,10,28,0.17,143,0.27558,0.244,12.32517817
3754156,earthquake,2010-09-03T17:35:47.451Z,2013-07-16T14:52:00.000Z,172.07645,-43.62188,3.979,7.1391,ML,,GROPE,reviewed,,nz1dr,14,10,30,0.035,128,0.26841,0.226,12.84137454
3764623,earthquake,2010-09-03T17:36:36.008Z,2013-07-16T14:52:00.000Z,171.87042,-43.5463,3.919,5,ML,operator assigned,GROPE,reviewed,,nz1dr,14,7,20,0.177,148,0.41051,0.175,24.0754863
3754167,earthquake,2010-09-03T17:36:55.875Z,2013-07-16T14:52:00.000Z,172.29759,-43.57589,3.986,11.3568,ML,,GROPE,reviewed,,nz1dr,22,12,18,0.165,184,0.21179,0.247,11.76215107
3366174,earthquake,2010-09-03T17:38:11.677Z,2013-08-08T13:21:00.000Z,172.15967,-43.52707,4.514,9.621,ML,,GROPE,reviewed,,nz1dr,28,18,47,0.055,101,0.2871,0.247,0.667274635
3764663,earthquake,2010-09-03T17:38:54.003Z,2013-07-16T14:52:00.000Z,171.98218,-43.52419,4.533,5,ML,operator assigned,GROPE,reviewed,,nz1dr,22,12,36,0.024,101,0.28602,0.308,14.9806438
3765075,earthquake,2010-09-03T17:39:33.702Z,2013-07-16T14:52:00.000Z,172.19775,-43.6185,4.233,5,ML,operator assigned,GROPE,reviewed,,nz1dr,18,10,25,0.276,136,0.29542,0.209,10.4203698
3765140,earthquake,2010-09-03T17:41:54.831Z,2013-07-16T14:52:00.000Z,172.36713,-43.56803,3.695,22.6799,ML,,GROPE,reviewed,,nz1dr,14,8,21,0.145,137,0.26522,0.255,16.67987798
3765173,earthquake,2010-09-03T17:43:08.226Z,2013-07-16T14:52:00.000Z,172.16035,-43.49445,4.071,7.0086,ML,,GROPE,reviewed,,nz1dr,20,12,32,0.043,133,0.24995,0.279,3.704777691
3366176,earthquake,2010-09-03T17:44:03.390Z,2013-07-16T14:04:00.000Z,172.3916,-43.56511,4.264,9.8504,ML,,GROPE,reviewed,,nz1dr,31,18,29,0.03,58,0.30929,0.264,18.50968016
3765217,earthquake,2010-09-03T17:46:21.532Z,2013-07-16T14:52:00.000Z,172.21344,-43.57799,4.171,15.1819,ML,,GROPE,reviewed,,nz1dr,36,21,39,0.092,75,0.23112,0.258,6.723258966
3766762,earthquake,2010-09-03T17:47:19.870Z,2013-07-16T14:52:00.000Z,172.24231,-43.55423,3.813,11.5824,ML,,GROPE,reviewed,,nz1dr,12,7,23,0.119,106,0.33458,0.242,6.700300765
3767262,earthquake,2010-09-03T17:53:03.557Z,2013-07-16T14:52:00.000Z,172.21379,-43.63201,3.455,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,16,0.302,160,0.40182,0.22,12.21388682
